"Edad","Area_Academica","Hrs de Sueño","Ingreso_Mensual","Tiempo_Traslado_Min","Transporte","Trabajo","Número de comidas","Hrs de estudio","Hrs en Redes","Materias inscritas","Promedio","Nivel de estres","Metodo de estudio","Nivel de interes","Area de interes","Categoria_Predominante","Transp_a_pie","Transp_por_app","Transp_publico","Transp_propio"
"22","Exactas e Ingenierías","7","8480","52.5","Transporte público (Autobús, Metro, etc.)","0","3","1","3","6","8.2","4","0","2","Economía","Exactas y Métodos","0","0","1","0"
"19","Económico-Administrativas","6","8480","52.5","Transporte público (Autobús, Metro, etc.)","0","3","1","5","7","8","5","0","1","Diseño gráfico","Económico-Administrativa","0","0","1","0"
"20","Económico-Administrativas","8","16960","7.5","A pie","0","4","1","4","6","9.3","5","0","3","Economía","Sociales y Humanidades","1","0","0","0"
"24","Económico-Administrativas","6","8480","7.5","Transporte público (Autobús, Metro, etc.)","0","2","0","5","6","9","1","1","3","Derecho","Otras/Multidisciplinar","0","0","1","0"
"22","Exactas e Ingenierías","7","16960","30","Transporte público (Autobús, Metro, etc.)","0","5","2","2","5","9.1","4","1","4","Finanzas","Exactas y Métodos","0","0","1","0"
"21","Salud y Naturales","6","8480","30","Vehículo propio (Automóvil/Motocicleta)","0","2","5","3","9","9","5","1","5","Salud","Sociales y Humanidades","0","0","0","1"
"19","Artes y Diseño","6","33920","30","Vehículo propio (Automóvil/Motocicleta)","0","3","1","4","9","9.8","3","0","4","Artes","Sociales y Humanidades","0","0","0","1"
"21","Artes y Diseño","6","16960","30","Vehículo propio (Automóvil/Motocicleta)","0","3","1","1","9","9.6","4","0","5","Diseño gráfico","Diseño y Artes","0","0","0","1"
"20","Económico-Administrativas","6","16960","135","Transporte público (Autobús, Metro, etc.)","0","2","2","4","9","8.6","5","0","3","Economía","Sociales y Humanidades","0","0","1","0"
"21","Económico-Administrativas","7","16960","52.5","Transporte público (Autobús, Metro, etc.)","0","3","0","2","6","8.9","4","1","3","Economía","Sociales y Humanidades","0","0","1","0"
"22","Exactas e Ingenierías","6","16960","30","Vehículo propio (Automóvil/Motocicleta)","0","3","3","2","6","8.5","5","1","4","Programación","Exactas y Métodos","0","0","0","1"
"21","Salud y Naturales","6","16960","52.5","Transporte público (Autobús, Metro, etc.)","1","3","2","4","6","9","5","0","5","Psicología","Sociales y Humanidades","0","0","1","0"
"21","Salud y Naturales","6","16960","52.5","Vehículo propio (Automóvil/Motocicleta)","0","3","3","2","6","9.3","5","1","5","Procesos químicos","Salud y Biológicas","0","0","0","1"
"21","Exactas e Ingenierías","7","25440","7.5","Vehículo propio (Automóvil/Motocicleta)","0","3","4","2","4","8.5","3","0","5","Programación","Exactas y Métodos","0","0","0","1"
"21","Exactas e Ingenierías","7","33920","30","Vehículo propio (Automóvil/Motocicleta)","0","3","1","3","6","8.9","3","1","2","Matemáticas","Otras/Multidisciplinar","0","0","0","1"
"21","Exactas e Ingenierías","5","25440","7.5","A pie","0","3","3","5","4","8.8","4","0","5","Probabilidad y estadística","Exactas y Métodos","1","0","0","0"
"22","Económico-Administrativas","6","8480","52.5","Transporte público (Autobús, Metro, etc.)","0","2","4","5","4","9.3","3","1","4","Comunicación","Otras/Multidisciplinar","0","0","1","0"
"19","Sociales y Humanidades","7","8480","105","Transporte público (Autobús, Metro, etc.)","0","3","3","5","6","9","4","0","5","Psicología","Salud y Biológicas","0","0","1","0"
"22","Económico-Administrativas","8","25440","7.5","A pie","0","3","2","5","6","8.9","2","0","5","Matemáticas","Exactas y Métodos","1","0","0","0"
"19","Sociales y Humanidades","7","16960","75","Transporte público (Autobús, Metro, etc.)","1","3","1","2","6","10","4","1","5","Derecho","Otras/Multidisciplinar","0","0","1","0"
"21","Salud y Naturales","8","8480","7.5","A pie","0","3","2","4","7","9.7","2","1","5","Psicología","Salud y Biológicas","1","0","0","0"
"21","Artes y Diseño","7","16960","52.5","Transporte público (Autobús, Metro, etc.)","0","3","2","4","7","9.1","2","0","3","Finanzas","Otras/Multidisciplinar","0","0","1","0"
"22","Económico-Administrativas","7","8480","7.5","A pie","0","3","5","3","6","9.3","3","1","4","Matemáticas","Otras/Multidisciplinar","1","0","0","0"
"22","Educación","8","8480","7.5","A pie","0","3","0","3","4","9.9","4","1","5","Psicología","Otras/Multidisciplinar","1","0","0","0"
"20","Artes y Diseño","8","8480","30","Transporte público (Autobús, Metro, etc.)","1","3","2","3","6","9","3","1","3","Diseño gráfico","Diseño y Artes","0","0","1","0"
"19","Económico-Administrativas","6","16960","7.5","A pie","1","1","3","2","6","9","4","0","5","Matemáticas","Económico-Administrativa","1","0","0","0"
"21","Exactas e Ingenierías","6","8480","7.5","A pie","0","2","3","5","7","8.76","4","1","3","Programación","Otras/Multidisciplinar","1","0","0","0"
"19","Exactas e Ingenierías","6","8480","135","Transporte público (Autobús, Metro, etc.)","0","2","1","2","5","8.7","5","0","3","Finanzas","Exactas y Métodos","0","0","1","0"
"22","Exactas e Ingenierías","7","25440","30","Transporte público (Autobús, Metro, etc.)","0","3","1","3","5","8.5","3","0","5","Programación","Sociales y Humanidades","0","0","1","0"
